,TITLE,COMPANY,LOCATION,SALARY
235,Healthcare Assistant - Maynooth,Excel Recruitment,"Maynooth, County Kildare","€31,200 - €35,360 per annum"
236,Healthcare Assistant,Gentle Hands Homecare Limited,"Cork, County Cork",€14.00 - €15.00 per hour
237,Trainee Healthcare Assistant,Noel Group,"Carlow, County Carlow","€35,006 - €37,086 per annum"
238,Trainee Healthcare Assistant,Noel Group,"Wexford, County Wexford","€35,006 - €37,086 per annum"
239,Trainee Healthcare Assistant,Noel Group,"Waterford, County Waterford","€35,006 - €37,086 per annum"
240,Trainee Healthcare Assistant,Noel Group,"Kilkenny, County Kilkenny","€35,006 - €37,086 per annum"
241,HealthCare Assistant Galway,Cpl Resources - Healthcare,"Galway, Republic of Ireland",€ Not Disclosed
242,Healthcare Assistant/Support Worker: Kilkenny,Cpl Resources - Healthcare,"Kilkenny, County Kilkenny",€ Not Disclosed
243,Healthcare Catering Staff,Broadline Recruiters,"Dublin, County Dublin",€ Not Disclosed
244,Healthcare Assistant - Elderly Care,Excel Recruitment,County Dublin,"€32,240 - €37,440 per annum"
245,Healthcare Assistants,Beechfield Care Group,"Kildare, County Kildare",€ Not Disclosed
246,Full-Time Healthcare Assistant with Company Car Provided - Dublin Fingal,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
247,Full-Time Healthcare Assistant with Company Car Provided - Dublin South,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
248,Part-Time Healthcare Assistant,All in Care,"Dublin, County Dublin",€14.50 - €19.00 per hour
249,Healthcare Assistant,Kare Plan,"Howth, County Dublin",€13.00 - €19.00 per hour
250,Healthcare Assistant -Annabeg Nursing Home,Trinity Care,"Dublin, County Dublin",€ Not Disclosed
251,Healthcare Assistant Theatre - UPMC Sports Surgery Clinic Dublin,UPMC Ireland,"Santry, County Dublin",€ Not Disclosed
252,Healthcare Assistant,All in Care,"Dublin, County Dublin","€30,000 per annum"
253,Catering Manager - Healthcare,Burren Amber,"Limerick, County Limerick","€65,000 - €70,000 per annum"
254,Healthcare Solicitor,Reed Global,"County Dublin, Dublin","€70,000 - €90,000 per annum"
255,Healthcare Assitant,Purecare Healthcare Limited,"Waterford, County Waterford",€15.00 - €25.50 per hour
256,Healthcare Cleaner Kerry - €16.99ph,Broadline Recruiters,"Tralee, County Kerry",€16.99 per hour
257,Healthcare Cleaner Connacht - €16.99ph,Broadline Recruiters,"Galway, Republic of Ireland",€16.99 per hour
258,Healthcare Cleaner Limerick - €16.99ph,Broadline Recruiters,"Limerick, County Limerick",€16.99 per hour
259,Healthcare Cleaner Munster - €16.99ph,Broadline Recruiters,"Cork, County Cork",€16.99 per hour
260,Healthcare Cleaner Leinster - €16.99ph,Broadline Recruiters,"Kildare, County Kildare",€16.99 per hour
261,Healthcare Assitant,Kare Plan,"Limerick, County Limerick",€16.00 - €19.00 per hour
262,Healthcare Supervisor - Dublin North,All in Care,"Dublin, County Dublin","€35,000 per annum"
263,Senior Healthcare Assistants,Trinity Care,"Gormanston, County Meath",€14.79 per hour
264,Clerical Officer | Naas | Healthcare,Staffline Recruitment (ROI),"Naas, County Kildare","€30,000 - €33,000 per annum"
265,General Catering Manager - Healthcare,Excel Recruitment,"Dublin, County Dublin","€60,000 - €65,000 per annum"
266,Healthcare Cleaner Dublin - €16.99ph,Broadline Recruiters,"Dublin, County Dublin",€16.99 per hour
267,Assistant Catering Manager,The Firm,"Dublin, County Dublin","€45,000 - €55,000 per annum"
268,Relief Shift Attendant,The Good Shepherd Centre Kilkenny,"Kilkenny, County Kilkenny",€15.66 per hour
269,Waking Night Support Worker,The Good Shepherd Centre Kilkenny,"Kilkenny, County Kilkenny",€17.20 per hour
270,Clinical Nurse Manager 1(Housing First- Homeless Services),The Good Shepherd Centre Kilkenny,County Waterford,"€64,750 per annum"
271,Health Care Assistant - Relief Hours Contract,Beechfield Care Group,County Meath,€14.50 - €14.80 per hour
272,Health Care Assistant - Wicklow,Talbot Group,"Wicklow, County Wicklow",€ Not Disclosed
273,Health Care Assistant -Peri-Operative - UPMC Aut Even,UPMC Ireland,"Kilkenny, County Kilkenny",€ Not Disclosed
274,Health Care Assistant,Beechfield Care Group,County Dublin,€ Not Disclosed
275,Health Care Assistant - Day or Night Duty - Full Time,Lisheen Nursing Home,"Rathcoole, County Dublin",€ Not Disclosed
276,Health Care Assistant,Beechfield Care Group,County Dublin,€ Not Disclosed
277,Health Care Assistant - Home Care (Flexible Hours),Dublin Home Support,"Dublin, County Dublin",€ Not Disclosed
278,Health Care Assistant - Home Care (Evenings),Dublin Home Support,"Dublin, County Dublin",€14.78 - €29.56 per hour
279,HCA - Wexford,Excel Recruitment,"Barntown, County Wexford","€31,200 - €35,360 per annum"
280,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Kilkenny, County Kilkenny",€ Not Disclosed
281,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Clonmel, County Tipperary",€ Not Disclosed
282,HCA,Excel Recruitment,"Dublin, County Dublin",€ Not Disclosed
283,Assistant Support Worker Social Care Worker - Sign on Bonus,Nua Healthcare,"Galway, Republic of Ireland",€ Not Disclosed
284,Assistant Support Worker and Social Care Worker (Sign on Bonus),Nua Healthcare,County Tipperary,€ Not Disclosed
285,Assistant Support Worker and Social Care Worker (Russain Spekaing),Nua Healthcare,County Tipperary,€ Not Disclosed
286,Social Care Worker and Assistant Support Worker,Nua Healthcare,County Tipperary,€ Not Disclosed
287,Social Care Worker and Assistant Support Worker,Nua Healthcare,County Westmeath,€ Not Disclosed
288,Social Care Worker and Assistant Support Worker,Nua Healthcare,County Dublin,€ Not Disclosed
289,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Wexford, County Wexford",€ Not Disclosed
290,Assistant Support worker and Social Care worker (Sign on Bonus),Nua Healthcare,County Offaly,€ Not Disclosed
291,Assistant Support Worker and Social Care worker,Nua Healthcare,County Tipperary,€ Not Disclosed
292,Assistant Support Worker,Dídean Dóchas Eireann Teoranta,"Drogheda, County Louth",€16.00 - €16.30 per hour
293,Field Care Supervisor,Nua Healthcare,County Dublin,€ Not Disclosed
294,Home Care Workers - Limerick City & Co. Limerick,Family Carers Ireland,"Limerick, County Limerick",€ Not Disclosed
295,"Home Care Workers - Ballinasloe, Oranmore & Galway City, Co. Galway",Family Carers Ireland,"Galway, Republic of Ireland",€ Not Disclosed
296,"Home Care Workers - Athboy, Co. Meath",Family Carers Ireland,County Dublin,€ Not Disclosed
297,Assistant Support Worker and Social Care Worker (Sign On Bonus),Nua Healthcare,"Cork, County Cork",€ Not Disclosed
298,Assistant Support Worker and Social Care Worker (Sign On Bonus),Nua Healthcare,County Tipperary,€ Not Disclosed
299,Assistant Support worker and Social Care Worker (Sign on Bonus),Nua Healthcare,County Tipperary,€ Not Disclosed
300,Engineering Service Technician (Workshop Based),Linde Material Handling,Republic of Ireland,"€55,000 per annum"
301,Engineering Manager,Sport Ireland Facilities,"Blanchardstown, County Dublin",€ Not Disclosed
302,Bid Manager - Construction & Engineering Industry,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
303,Full-Stack Head of Web Engineering,Staycity,County Dublin,€ Not Disclosed
304,Data Engineering Consultant,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
305,Software Engineering Manager,Cpl Resources - Limerick,"Limerick, County Limerick",€ Not Disclosed
306,Design Engineering Manager,Sidhean Teo,County Galway,€ Not Disclosed
307,Sr Facilities Engineer,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
308,Engineering Manager Dublin 24,Cpl Resources - Science & Engineering,"County Dublin, Dublin",€ Not Disclosed
309,proces Engineer,Cpl Resources - Limerick,"Tipperary, County Tipperary",€ Not Disclosed
310,Lead AI Engineer & Automation Architect,Staycity,County Dublin,€ Not Disclosed
311,Senior Information Risk Consultant- Cybersecurity Assurance,Experis Ireland,"County Dublin, Dublin",€ Not Disclosed
312,Senior QA Compliance Specialist,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
313,Industrial Air Sales Engineer,Noel Group,Munster,"€40,000 - €55,000 per annum"
314,Duty Engineer,InterContinental Dublin,"Dublin, County Dublin",€ Not Disclosed
315,Service & Commissioning Engineer,Primtac Personnel,"Dublin, County Dublin",€ Not Disclosed
316,Fire Commissioning Engineer,Smyth Recruitment,"Dublin, County Dublin",€ Not Disclosed
317,Sr Automation Engineer (Small Manufacturing Equipment),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
318,Electrical Control Systems Design Engineer,WebRecruit Ireland.,"Galway, Republic of Ireland","€55,000 per annum"
319,Senior/Principal Instrumentation Engineer,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
320,Technical Lead (Onsite Engineer),Three Ireland,"Cork, County Cork",€ Not Disclosed
321,Motorway Infastructure Engineer,M50 Concession Ltd,"Dublin, County Dublin",€ Not Disclosed
322,Senior Mechanical Design Engineer,Cpl Resources - Limerick,"Limerick, County Limerick",€ Not Disclosed
323,Electrical Design Engineer,Noel Group,County Louth,"€55,000 - €60,000 per annum"
324,Site Engineer,Orange Recruitment Ltd.,"Cork, County Cork","€43,000 - €55,000 per annum"
325,Senior Engineer,Orange Recruitment Ltd.,"Cork, County Cork","€55,000 - €80,000 per annum"
326,Automation Engineer,Pfizer Pharmaceutical,"Lucan And Pettycanon, County Dublin",€ Not Disclosed
327,Site Engineer,Primtac Personnel,"County Dublin, Dublin",€ Not Disclosed
328,Site Engineer,Recruit Engineers Limited,"Limerick, County Limerick","€50,000 - €65,000 per annum"
329,Senior Site Engineer,HML Plant Hire & Construction,"South Dublin, County Dublin","€50,000 - €70,000 per annum"
330,Senior Engineer,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
331,Principal Data Engineer,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
332,Qualified Plumber - Field Agent/Service Engineer,Noel Group,"Dublin, County Dublin","€48,000 - €55,000 per annum"
333,Civil & Structural Engineer,Orange Recruitment Ltd.,"Dublin, County Dublin","€35,000 - €50,000 per annum"
334,Automation Engineer (NPI Projects),Cpl Resources - TEG,"County Dublin, Dublin",€ Not Disclosed
335,Site Engineer,Newkey Homes Limited,"Dublin, County Dublin","€60,000 - €80,000 per annum"
336,Setting Out Engineer,Orange Recruitment Ltd.,"Galway, Republic of Ireland","€45,000 - €70,000 per annum"
337,Civil Design Engineer,Mfa Consulting Engineers Limited,"Sligo, County Sligo",€ Not Disclosed
338,CQV Engineer-Inspection Equipment,Cpl Resources - Science & Engineering,"County Dublin, Dublin","€120,000 - €140,000 per annum"
339,Senior Site Engineer,Fima Developments,Republic of Ireland,€ Not Disclosed
340,IP Operations Engineer,Three Ireland,County Dublin,€ Not Disclosed
341,Prinicpal Sailpoint Engineer,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
342,Senior TechOps Engineer,Jacksonstone Recruitment,"Dublin, County Dublin",€ Not Disclosed
343,TechOps Engineer,Jacksonstone Recruitment,"Dublin, County Dublin","€40,000 - €50,000 per annum"
344,Principal Manufacturing Engineer,Cpl Resources - Limerick,"Clonmel, County Tipperary",€ Not Disclosed
345,Sr. Physical Design Engineer (CPU cores),AMD,"Cork, County Cork",€ Not Disclosed
346,Principal Physical Design Engineer (CPU Cores),AMD,"Cork, County Cork",€ Not Disclosed
347,Airconditioning Engineer,Crossflow Air Conditioning Ltd,"Dublin, County Dublin","€56,700 - €70,000 per annum"
348,Senior Staff Physical Design Engineer (CPU Cores),AMD,"Cork, County Cork",€ Not Disclosed
349,Senior Structural Engineer,Orange Recruitment Ltd.,"Dublin, County Dublin","€60,000 - €85,000 per annum"
350,Senior Structural Engineer,Orange Recruitment Ltd.,"Kilkenny, County Kilkenny","€60,000 - €85,000 per annum"
351,Senior Cloud Engineer - Kubernetes,Cpl Resources - Technology,"Dublin, County Dublin",€ Not Disclosed
352,.Net Full Stack Engineer,Prepay Power,County Dublin,"€50,000 - €60,000 per annum"
353,HVAC Service Engineer,Orange Recruitment Ltd.,"Dublin, County Dublin","€50,000 - €55,000 per annum"
354,Senior Staff Physical Design Engineer (CPU Cores),AMD,County Dublin,€ Not Disclosed
355,Staff Physical Design Engineer (CPU Cores),AMD,County Dublin,€ Not Disclosed
356,Principal Data Engineer,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
357,Automation Infrastructure Engineer,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
358,Electrcial Engineer / Electrician,ACS Drives and Control Systems,"Mullingar, County Westmeath","€45,000 - €65,000 per annum"
359,Site Reliability Engineer,"G Treasury Ss, Llc","County Dublin, Dublin",€ Not Disclosed
360,IT Service Desk Engineer,Cpl Resources - Limerick,"Limerick, County Limerick",€ Not Disclosed
361,Technical Support Engineer,Intellect Talent Acquisition,"Enniscorthy, County Wexford",€ Not Disclosed
362,Senior Database SRE Engineer,Adecco,"County Dublin, Dublin","€40,000 - €60,000 per annum"
363,Level 2 Support Engineer,WebRecruit Ireland.,"Dublin, County Dublin",€ Not Disclosed
364,Visual Inspection Process Engineer,Cpl Resources - Science & Engineering,"Waterford, County Waterford","€95,000 - €105,000 per annum"
365,Mechanical Engineer,Link Personnel Services,"Dublin, County Dublin","€70,000 - €80,000 per annum"
366,Graduate AutoCAD/BIM Revit Technician,Combico,"Limerick, County Limerick",€ Not Disclosed
367,Senior Mechanical Engineer Dublin,Recruit Engineers Limited,"Dun Laoghaire, County Dublin",€ Not Disclosed
368,Electrical Engineer,Orange Recruitment Ltd.,"Dublin, County Dublin","€45,000 - €70,000 per annum"
369,Mechanical & Electrical Engineers,Talent Finder,"Tullamore, County Offaly","€35,000 - €45,000 per annum"
370,Senior Electrical Design/Project Engineers - Limerick,Tech Skills Resources Ltd,"Limerick, County Limerick",€ Not Disclosed
371,Senior Mechanical Engineer (Dublin & Cork),Recruit Engineers Limited,"Dublin, County Dublin","€55,000 - €90,000 per annum"
372,Process Scientist,Pfizer Pharmaceutical,"Lucan And Pettycanon, County Dublin",€ Not Disclosed
373,Mechanical Engineer Leader for Public-Private Partnership,Elevation Recruitment,"County Dublin, Dublin","€100,000 - €120,000 per annum"
374,Experienced Toolmaker,Riteway Engineering,"Galway, Republic of Ireland",€ Not Disclosed
375,Health & Safety Technical Lead,Orange Recruitment Ltd.,"Cork, County Cork","€60,000 - €65,000 per annum"
376,Health & Safety Technical Lead,Orange Recruitment Ltd.,"Limerick, County Limerick","€60,000 - €65,000 per annum"
377,Senior Bid Coordinator,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
378,Process Manager,The Recruitment Bureau (Drogheda) Limited,"Monaghan, County Monaghan",€ Not Disclosed
379,Apple Premium Service Technician,Harvey Norman,"Rathfarnham, County Dublin",€ Not Disclosed
380,Senior Revenue Assurance Manager,Prepay Power,County Dublin,€ Not Disclosed
381,Hotel Maintenance,Buswells Hospitality Limited,"Dublin City Centre, Dublin",€ Not Disclosed
382,Contracts Manager,Newkey Homes Limited,"Dublin, County Dublin","€80,000 - €120,000 per annum"
383,Metal Fabricator / Welder,Mantis Cranes,County Donegal,€ Not Disclosed
384,HR Business Partner,Lex Consultancy,"County Dublin, Dublin",€ Not Disclosed
385,Energy Regulatory Analyst,Tech Skills Resources Ltd,"Dublin, County Dublin",€ Not Disclosed
386,Lead Estimator,Orange Recruitment Ltd.,"Cork, County Cork","€95,000 - €105,000 per annum"
387,Service Manager,Mantis Cranes,"Killygordon, Donegal",€ Not Disclosed
388,Project Planner,Orange Recruitment Ltd.,"Cork, County Cork","€45,000 - €75,000 per annum"
389,Health & Safety Technical Lead,Orange Recruitment Ltd.,"Dublin, County Dublin","€60,000 per annum"
390,Account Manager German Speaking,Cpl Resources - Technology,"County Dublin, Dublin","€50,000 per annum"
391,Project Manager,Orange Recruitment Ltd.,"Cork, County Cork","€80,000 - €100,000 per annum"
392,Technical Records Specialist,Cpl Resources - Limerick,"Shannon, Clare",€ Not Disclosed
393,Indirect Procurement Manager,Ascension,"Cavan, County Cavan","€60,000 - €70,000 per annum"
394,PA / Executive Assistant - Part Time,Cpl Resources - Limerick,"Limerick, County Limerick","€43,000 - €45,000 per annum"
395,Technical Services/Manufacturing Scientist,Kenny-Whelan,"Cork, County Cork","€42,000 - €52,000 per annum"
396,Validation Specialist,Noel Group,"Dublin, County Dublin","€35,000 - €36,000 per annum"
397,Contracts Manager,Orange Recruitment Ltd.,"Dublin, County Dublin","€100,000 - €120,000 per annum"
398,Health & Safety Advisor,Orange Recruitment Ltd.,"Dublin, County Dublin","€60,000 - €63,000 per annum"
399,BIM Technician,Staffline Recruitment (ROI),Leinster,"€47,840 - €52,000 per annum"
400,Education and Professional Development Manager,Lex Consultancy,"County Dublin, Dublin","€50,000 - €60,000 per annum"
401,Student Education Coordinator required for Education Body in D2,Lex Consultancy,"County Dublin, Dublin","€36,000 - €38,000 per annum"
402,Principal GMP Data Governance Business Partner (Data Integrity),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
403,Manager Supply Chain (Compliance),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
404,Clinical Nurse Manager (CNM) Cairnhill Bray,Trinity Care,"Bray, County Wicklow",€ Not Disclosed
405,Executive Director Global Procurement (Direct Materials),Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
406,Temp - QC Microbiology Scientist,Regeneron Ireland,"Limerick, County Limerick",€ Not Disclosed
407,Early Years Educator/Montessori Teacher,Belgrave Montessori School Limited,"Rathmines, County Dublin",€15.00 per hour
408,Early years Educator,Childcare Minds Limited,"Mornington, County Meath",€14.00 - €17.00 per hour
409,Early Years Educator - Enfield,Tigers Childcare,County Meath,"€31,200 per annum"
410,Afterschool Educator - Mochtas,Tigers Childcare,County Dublin,€15.00 per hour
411,Afterschool Educator - Bettystown,Tigers Childcare,County Meath,"€31,200 per annum"
412,Early Years Educator,Little Folks Academy,"Trim, County Meath","€31,200 - €37,440 per annum"
413,Early Years Educator – Part Time,Daughters of Charity Community Services,"Dublin, County Dublin",€ Not Disclosed
414,Early Years Educator - Slane Road Navan (Part time),Tigers Childcare,County Meath,"€31,200 per annum"
415,Early Years Educator AIM - 40 hours - Ryebridge,Tigers Childcare,"Kildare, County Kildare","€31,200 per annum"
416,Early Years Educator - Ryebridge,Tigers Childcare,"Kildare, County Kildare","€29,744 - €32,864 per annum"
417,Early Years Educator - Bettystown,Tigers Childcare,County Meath,"€31,200 per annum"
418,Early Years Educator (Aim Support) - Term time - 15 hours - Bettystown,Tigers Childcare,County Meath,"€31,200 per annum"
419,Early Years Educator - Balgriffin,Tigers Childcare,County Dublin,"€31,200 per annum"
420,Early Years Educator (Part Time) - Balgriffin,Tigers Childcare,County Dublin,"€31,200 per annum"
421,Early Years Educator - Floating Role - Ridgewood & Balgriffin,Tigers Childcare,County Dublin,€18.00 per hour
422,Early Years Educator - Blanchardstown,Tigers Childcare,"Blanchardstown, County Dublin","€31,200 per annum"
423,Early Years Educator - Pembroke,Tigers Childcare,"Cork, County Cork","€31,200 per annum"
424,Early Years Educator (AIM Support) - 15 Hours - Glasnevin Pre School,Tigers Childcare,County Dublin,"€29,744 - €32,864 per annum"
425,Early Years Educator - Ongar Village,Tigers Childcare,"Dublin, County Dublin","€31,200 per annum"
426,Early Years Educator - Floating Role - Ryebridge & Brayton Park,Tigers Childcare,"Kildare, County Kildare",€18.00 per hour
427,Childcare Educator,Little Treasures Creche & Montessori,"Limerick, County Limerick",€ Not Disclosed
428,Lead Early Years Educator,Tir Na Nog Community Childcare,County Sligo,€17.50 per hour
429,Early Years Educator - Rush,Charlie's Childcare,County Dublin,€ Not Disclosed
430,Early Years Educator,Early Journeys Quality Childcare,"Dublin, County Dublin",€ Not Disclosed
431,Early Years Educator,Tir Na Nog Community Childcare,County Sligo,€15.00 - €16.00 per hour
432,Early Years Educator - Douglas,Tigers Childcare,"Cork, County Cork","€31,200 per annum"
433,Early Years Educator - Leopardstown,Tigers Childcare,County Dublin,"€31,200 per annum"
434,Early Years Educator - Floating Role - Cork,Tigers Childcare,"Cork, County Cork",€18.00 per hour
435,Cover / Relief Montessori Teacher Clontarf,Karaville Montessori & Childcare,"Dundrum, County Dublin",€ Not Disclosed
436,Cover / Relief Montessori Teacher Dundrum,Karaville Montessori & Childcare,"Dundrum, County Dublin",€ Not Disclosed
437,Training and Development Advisor,Total Talent Solutions,"Kilkenny, County Kilkenny","€50,000 - €60,000 per annum"
438,Certified Gym Instructor/Club Administrator,Tranquillity Leisure and Spa,"Athenry, County Galway",€ Not Disclosed
439,Early Years Teacher,Lios na nÓg Playgroup CLG,"Dundalk, County Louth",€ Not Disclosed
440,Training Documentation Specialist,Staffline Recruitment (ROI),"Clondalkin, County Dublin","€46,467 - €48,547 per annum"
441,Supervisor (Out of Ratio),Oakmount Creche Ltd,"Dublin, County Dublin",€ Not Disclosed
442,"Training Program Manager, International Support","Whatnot, Inc",Republic of Ireland,"€100,000 - €130,000 per annum"
443,Academic English Tutor,Dublin International Study Centre,"County Dublin, Dublin","€36,500 per annum"
444,Service Advisor,Pierse Motors,"Ennis, Clare",€ Not Disclosed
445,Site Supervisor ( Joinery Fitouts ),ISS Recruitment,"Edenderry, County Offaly","€50,000 - €90,000 per annum"
446,Digital Partner Success Specialist - Danish,Abrivia,"County Dublin, Dublin",€ Not Disclosed
447,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Kilkenny, County Kilkenny",€ Not Disclosed
448,Assistant Support Worker Social Care Worker - Sign on Bonus,Nua Healthcare,"Galway, Republic of Ireland",€ Not Disclosed
449,Assistant Support Worker and Social Care Worker (Sign on Bonus),Nua Healthcare,County Tipperary,€ Not Disclosed
450,Social Care Worker and Assistant Support Worker,Nua Healthcare,"Clonmel, County Tipperary",€ Not Disclosed
451,Assistant Support Worker and Social Care Worker (Russain Spekaing),Nua Healthcare,County Tipperary,€ Not Disclosed
452,Training Manager,Nua Healthcare,"Naas, County Kildare",€ Not Disclosed
453,Digital Agency Consultant - Swedish,Abrivia,"County Dublin, Dublin",€ Not Disclosed
454,Administrative Officer,City Of Dublin Education & Training Board,"Dublin, County Dublin","€60,010 per annum"
455,Mechanical Automation & Maintenance Fitter,Onecore,"County Dublin, Dublin",€ Not Disclosed
456,Assistant Support worker and Social Care worker (Sign on Bonus),Nua Healthcare,County Offaly,€ Not Disclosed
457,Assistant Support Worker and Social Care worker,Nua Healthcare,County Tipperary,€ Not Disclosed
